Estado,ingresos,pip
Aguascalientes,21272285,2016486.1179999998
Baja California,62509658,5294617.949
Baja California Sur,13615677,1356478.7349999999
Campeche,14945176,5889050.379999999
Coahuila de Zaragoza,49839987,5700187.418
Colima,13234981,988849.195
Chiapas,74332224,2764084.877
Chihuahua,59952292,5260454.688999999
Ciudad de México,165581119,28988996.961000003
Durango,28217111,1954740.9950000003
Guanajuato,96740526,6565198.309999999
Guerrero,54564997,2289966.129
Hidalgo,47182980,2539523.487
Jalisco,137263349,11249688.375
México,268837191,14847496.194999998
Michoacán de Ocampo,74184098,3947583.2240000004
Morelos,31024796,1897109.6929999995
Nayarit,21062646,1133165.719
Nuevo León,92926616,12531074.622
Oaxaca,64487609,2503899.079
Puebla,104610187,5527589.962
Querétaro,32972571,3680916.457
Quintana Roo,31119554,2508520.0540000005
San Luís Potosí,44671434,3382920.399
Sinaloa,49868718,3662448.917
Sonora,49701945,5518729.714
Tabasco,34949474,5171551.096
Tamaulipas,58042073,4890213.174
Tlaxcala,20947942,945264.692
Veracruz de Ignacio de la Llave,119963003,7789995.983999999
Yucatán,40328238,2406625.39
Zacatecas,24244903,1533659.761
